R²,MAE,RMSE,Correlation,p-value,Model
-0.07270408163265296,0.16899116872334305,0.2053413974529016,-0.9999999999999998,8.376948343984935e-209,Naive (Mean)
-0.02746426078936559,0.16544907413541762,0.20096476006748099,-0.8182482255537871,5.895378492921477e-08,Naive (Median)
-13.698126593530661,0.36485945248581625,0.7600944098982988,-0.131755814908265,0.4956841623692022,Linear Regression
-0.2812538708241321,0.19529833950313374,0.22441616780792864,0.20965284429963446,0.2750352871504879,Ridge (α=1.0)
-0.8036115729698974,0.22958954988544156,0.2662613032548677,0.08343472752632447,0.6669792541713719,Ridge (α=0.1)
-0.051272973064105276,0.16878212542462212,0.2032798335463351,-0.3121755420565354,0.09921591556422334,Lasso (α=0.1)
0.04883110993133344,0.16310938924737478,0.19335943367558062,0.2399871589671938,0.20986206171778699,ElasticNet
-0.03540345435222836,0.16893740458411355,0.2017396911020846,0.21906563945089513,0.25355873291509634,Bayesian Ridge
-11.659325166000153,0.37126944757619934,0.7054103449266725,-0.11899099281133357,0.5386932851098263,Huber Regressor
0.02673221691181793,0.16386430411269992,0.19559273547125763,0.26885219489780904,0.1584662222017851,Random Forest
0.22230142281081489,0.14244834184193236,0.1748405640697893,0.4764280846152005,0.00898134617137201,Extra Trees
-0.11418045532650334,0.1533733533224633,0.209273537078966,0.26491631849012204,0.1648859615697848,Gradient Boosting
-0.2527037807106647,0.17787945161985666,0.22190175692472547,0.1655539388875022,0.39074669529511175,AdaBoost
0.016207450298607373,0.16798322929089005,0.19664744649656457,0.23631953791915014,0.21712334763493402,SVR (RBF)
-0.29896719227040625,0.19314430007110023,0.2259621185541329,0.27247190746347977,0.15272152923419297,SVR (Linear)
-0.6506260750951505,0.212587945870923,0.25471873981007703,-0.14486022951622382,0.4534052657483032,SVR (Poly)
-8.16175762090834,0.4845870461911652,0.6001032043881543,0.2535706484712259,0.184419804309752,MLP (32)
-18.178247029456166,0.6839679358724973,0.8682424208453189,0.1282627012605312,0.5072791114553868,"MLP (64, 32)"
-23.412870901688656,0.7347443702724692,0.9795936787703222,0.22767653786383446,0.2349033356743361,"MLP (128, 64, 32)"
-24.635686968705905,0.6492848446971774,1.0038273557783268,-0.15812831131065652,0.41263633793413923,"MLP (64, 32) tanh"
