R²,MAE,RMSE,Correlation,p-value,Model
-0.054784514243974014,0.28666311222117036,0.33236820736136646,-1.0,0.0,Naive (Mean)
-0.06634501568833073,0.28969687947008316,0.3341846316232704,-0.8604505586268523,4.368732365700065e-12,Naive (Median)
-59.140868136688425,0.7410149843044209,2.5097036864760804,0.24451638204466927,0.13900346144897555,Linear Regression
-0.07333981691285674,0.2637597403966597,0.335278899518983,0.3002277162317275,0.06703924563126439,Ridge (α=1.0)
-9.10602401198402,0.4206800937390287,1.028792442007498,0.27988827687528145,0.08877120720477968,Ridge (α=0.1)
0.004801112984617828,0.2691118108806003,0.32284386876644466,0.11088233917842878,0.507497241499981,Lasso (α=0.1)
0.030747044560432868,0.26130449866929967,0.31860762785585867,0.23492471442468907,0.15567888513389844,ElasticNet
-4.747576151544942,0.36035004091939243,0.7758539386969978,0.254682874420821,0.12280737746995493,Bayesian Ridge
-2.931880404590071,0.39131606799643276,0.6417084408451086,0.12441530094070188,0.4567395489747473,Huber Regressor
0.046679136336386984,0.2546052426537493,0.31597822203567044,0.32935668614426533,0.04346666080629832,Random Forest
0.08559727373508408,0.2474828043050436,0.3094613090266537,0.34427818318382886,0.03429697573590432,Extra Trees
-0.04833084656444808,0.2632075012502262,0.33134985478558704,0.3329347559180441,0.041104978560583344,Gradient Boosting
-0.3295390422137279,0.30417074064934774,0.3731540414984284,0.1774781409599744,0.28642677129335253,AdaBoost
-0.17383860004935237,0.28815092270436826,0.35062412553171696,0.18916524657564182,0.2553520019692007,SVR (RBF)
-17.461615737221422,0.492531404479385,1.3905046828583756,-0.13451565511220842,0.4207160688784596,SVR (Linear)
-123507.55181610445,18.872482669614968,113.7329010033859,-0.20552379511783828,0.21576136325936252,SVR (Poly)
-10878.856624399858,5.97460364405676,33.75586087602446,-0.20173884706490142,0.22452066115965902,MLP (32)
-626.6962350991126,2.1503519795124517,8.107974311598387,-0.18329723530264408,0.2706616882152314,"MLP (64, 32)"
-5450.049228757854,4.638350163454922,23.893383526187026,-0.196094589676416,0.23802964580857497,"MLP (128, 64, 32)"
-10.140306263132143,0.7276010047049993,1.0801552164885475,-0.14760941125519692,0.37648685894836487,"MLP (64, 32) tanh"
